location,Ankara,Ankara,Ankara
lat,40.01502,40.01502,40.01502
lon,32.73532,32.73532,32.73532
asl,923.411,923.411,923.411
variable,Temperature,Relative Humidity,Precipitation Total
unit,Â°C,%,mm
level,2 m elevation corrected,2 m,sfc
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Ankara Temperature [2 m elevation corrected],Ankara Relative Humidity [2 m],Ankara Precipitation Total
20201001T0000,12.437169,59.0,0.0
20201001T0100,12.557169,63.0,0.0
20201001T0200,13.177169,68.0,0.0
20201001T0300,13.087169,76.0,0.0
20201001T0400,12.867169,81.0,0.0
20201001T0500,11.567169,88.0,0.0
20201001T0600,11.177169,90.0,0.0
20201001T0700,12.187169,87.0,0.0
20201001T0800,13.797169,78.0,0.0
20201001T0900,14.967169,72.0,0.0
20201001T1000,16.787169,62.0,0.0
20201001T1100,18.367168,55.0,0.0
20201001T1200,20.957169,41.0,0.0
20201001T1300,22.057169,36.0,0.0
20201001T1400,22.857168,33.0,0.0
20201001T1500,23.527168,29.0,0.0
20201001T1600,23.40717,28.0,0.0
20201001T1700,22.687168,28.0,0.0
20201001T1800,21.41717,30.0,0.0
20201001T1900,18.537169,35.0,0.0
20201001T2000,16.797169,39.0,0.0
20201001T2100,14.717169,44.0,0.0
20201001T2200,12.627169,54.0,0.0
20201001T2300,11.187169,64.0,0.0
20201002T0000,9.9971695,72.0,0.0
20201002T0100,9.057169,80.0,0.0
20201002T0200,8.357169,86.0,0.0
20201002T0300,7.727169,89.0,0.0
20201002T0400,7.307169,90.0,0.0
20201002T0500,7.107169,92.0,0.0
20201002T0600,7.177169,91.0,0.0
20201002T0700,7.1271687,90.0,0.0
20201002T0800,9.537169,76.0,0.0
20201002T0900,13.377169,64.0,0.0
20201002T1000,16.73717,52.0,0.0
20201002T1100,19.697168,38.0,0.0
20201002T1200,21.047169,29.0,0.0
20201002T1300,22.027168,26.0,0.0
20201002T1400,22.787169,23.0,0.0
20201002T1500,23.187168,22.0,0.0
20201002T1600,23.037169,20.0,0.0
20201002T1700,22.357168,21.0,0.0
20201002T1800,20.83717,23.0,0.0
20201002T1900,18.64717,26.0,0.0
20201002T2000,17.67717,28.0,0.0
20201002T2100,16.98717,29.0,0.0
20201002T2200,16.087168,31.0,0.0
20201002T2300,15.297169,33.0,0.0
20201003T0000,13.867169,36.0,0.0
20201003T0100,12.397169,41.0,0.0
20201003T0200,11.107169,46.0,0.0
20201003T0300,10.157169,51.0,0.0
20201003T0400,10.587169,51.0,0.0
20201003T0500,10.507169,50.0,0.0
20201003T0600,10.147169,49.0,0.0
20201003T0700,9.617169,47.0,0.0
20201003T0800,11.397169,42.0,0.0
20201003T0900,16.32717,31.0,0.0
20201003T1000,20.09717,24.0,0.0
20201003T1100,21.947168,21.0,0.0
20201003T1200,23.217169,19.0,0.0
20201003T1300,24.187168,18.0,0.0
20201003T1400,24.887169,16.0,0.0
20201003T1500,25.297169,16.0,0.0
20201003T1600,25.16717,15.0,0.0
20201003T1700,24.477169,16.0,0.0
20201003T1800,22.58717,19.0,0.0
20201003T1900,20.83717,21.0,0.0
20201003T2000,19.797169,23.0,0.0
20201003T2100,18.447168,25.0,0.0
20201003T2200,16.707169,29.0,0.0
20201003T2300,14.087169,35.0,0.0
20201004T0000,11.627169,44.0,0.0
20201004T0100,9.607169,57.0,0.0
20201004T0200,8.857169,65.0,0.0
20201004T0300,8.597169,70.0,0.0
20201004T0400,10.287169,62.0,0.0
20201004T0500,11.367169,55.0,0.0
20201004T0600,11.787169,51.0,0.0
20201004T0700,11.687169,50.0,0.0
20201004T0800,12.857169,46.0,0.0
20201004T0900,17.277168,35.0,0.0
20201004T1000,20.51717,28.0,0.0
20201004T1100,22.697168,25.0,0.0
20201004T1200,24.217169,21.0,0.0
20201004T1300,25.527168,18.0,0.0
20201004T1400,26.48717,15.0,0.0
20201004T1500,27.06717,14.0,0.0
20201004T1600,27.06717,14.0,0.0
20201004T1700,26.48717,15.0,0.0
20201004T1800,24.357168,17.0,0.0
20201004T1900,22.057169,20.0,0.0
20201004T2000,20.31717,23.0,0.0
20201004T2100,18.31717,27.0,0.0
20201004T2200,15.907169,32.0,0.0
20201004T2300,13.397169,38.0,0.0
20201005T0000,11.437169,46.0,0.0
20201005T0100,10.687169,50.0,0.0
20201005T0200,10.317169,54.0,0.0
20201005T0300,10.107169,55.0,0.0
20201005T0400,11.477169,51.0,0.0
20201005T0500,12.227169,48.0,0.0
20201005T0600,12.567169,46.0,0.0
20201005T0700,12.347169,46.0,0.0
20201005T0800,13.457169,42.0,0.0
20201005T0900,17.947168,32.0,0.0
20201005T1000,21.64717,25.0,0.0
20201005T1100,24.447168,21.0,0.0
20201005T1200,27.00717,18.0,0.0
20201005T1300,29.07717,15.0,0.0
20201005T1400,30.67717,14.0,0.0
20201005T1500,31.867168,13.0,0.0
20201005T1600,31.697168,14.0,0.0
20201005T1700,30.627169,15.0,0.0
20201005T1800,28.06717,19.0,0.0
20201005T1900,25.797169,23.0,0.0
20201005T2000,22.367168,29.0,0.0
20201005T2100,18.81717,36.0,0.0
20201005T2200,16.58717,42.0,0.0
20201005T2300,15.387169,45.0,0.0
20201006T0000,14.857169,47.0,0.0
20201006T0100,14.467169,49.0,0.0
20201006T0200,14.337169,50.0,0.0
20201006T0300,14.147169,51.0,0.0
20201006T0400,15.477169,47.0,0.0
20201006T0500,16.107168,46.0,0.0
20201006T0600,16.297169,45.0,0.0
20201006T0700,16.097168,46.0,0.0
20201006T0800,17.227169,43.0,0.0
20201006T0900,21.34717,33.0,0.0
20201006T1000,25.057169,27.0,0.0
20201006T1100,28.187168,22.0,0.0
20201006T1200,30.57717,18.0,0.0
20201006T1300,31.84717,16.0,0.0
20201006T1400,32.27717,15.0,0.0
20201006T1500,32.33717,15.0,0.0
20201006T1600,31.947168,15.0,0.0
20201006T1700,30.807169,16.0,0.0
20201006T1800,28.65717,19.0,0.0
20201006T1900,26.527168,22.0,0.0
20201006T2000,22.297169,29.0,0.0
20201006T2100,19.40717,35.0,0.0
20201006T2200,17.01717,42.0,0.0
20201006T2300,15.407169,48.0,0.0
20201007T0000,14.817169,51.0,0.0
20201007T0100,14.7471695,51.0,0.0
20201007T0200,14.847169,51.0,0.0
20201007T0300,15.127169,49.0,0.0
20201007T0400,16.49717,44.0,0.0
20201007T0500,17.00717,42.0,0.0
20201007T0600,17.16717,41.0,0.0
20201007T0700,17.07717,42.0,0.0
20201007T0800,18.32717,39.0,0.0
20201007T0900,22.24717,31.0,0.0
20201007T1000,25.92717,25.0,0.0
20201007T1100,28.807169,20.0,0.0
20201007T1200,30.807169,18.0,0.0
20201007T1300,31.717169,17.0,0.0
20201007T1400,32.057167,16.0,0.0
20201007T1500,32.107166,15.0,0.0
20201007T1600,31.39717,15.0,0.0
20201007T1700,30.33717,17.0,0.0
20201007T1800,28.56717,20.0,0.0
20201007T1900,27.07717,22.0,0.0
20201007T2000,26.34717,24.0,0.0
20201007T2100,25.867168,24.0,0.0
20201007T2200,24.947168,26.0,0.0
20201007T2300,24.117168,27.0,0.0
20201008T0000,24.047169,28.0,0.0
20201008T0100,22.50717,30.0,0.0
20201008T0200,21.047169,33.0,0.0
20201008T0300,19.51717,37.0,0.0
20201008T0400,18.447168,40.0,0.0
20201008T0500,17.41717,44.0,0.0
20201008T0600,16.59717,50.0,0.0
20201008T0700,15.627169,57.0,0.0
20201008T0800,17.15717,52.0,0.0
20201008T0900,22.51717,36.0,0.0
20201008T1000,25.977169,30.0,0.0
20201008T1100,28.51717,26.0,0.0
20201008T1200,29.56717,24.0,0.0
20201008T1300,29.137169,19.0,0.0
20201008T1400,30.00717,17.0,0.0
20201008T1500,30.287169,16.0,0.0
20201008T1600,30.357168,16.0,0.0
20201008T1700,29.857168,16.0,0.0
20201008T1800,28.33717,18.0,0.0
20201008T1900,26.437168,20.0,0.0
20201008T2000,25.56717,21.0,0.0
20201008T2100,24.777168,22.0,0.0
20201008T2200,23.627169,24.0,0.0
20201008T2300,22.727169,27.0,0.0